Région,Code région,Code département,code_commune,nom_commune,zone_montagne,est_zone_vulnerable,est_zar,zone_ouest,zone_sud,zone_est,Dernière mise à jour,Dernière mise à jour par
BOURGOGNE FRANCHE COMTE,27,25,25626,VILLERS SAINT MARTIN,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25627,VILLERS SOUS CHALAMONT,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25629,VOILLANS,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25630,VOIRES,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25631,VORGES LES PINS,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25632,VOUJEAUCOURT,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25633,VUILLAFANS,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25634,VUILLECIN,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25635,VYT LES BELVOIR,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26001,SOLAURE EN DIOIS,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26002,ALBON,NC,C,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26003,ALEYRAC,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26004,ALIXAN,NC,C,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26005,ALLAN,NC,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26006,ALLEX,NC,C,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26007,AMBONIL,NC,C,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26008,ANCONE,NC,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,26,26009,ANDANCETTE,NC,C,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
